"P0001000";"GOK-Root";"Geschichte";"lkl=p?";"History"
"P1354500";"P1354000";"Nachschlagewerke, Handbücher";"lkl=pqn 000";"Factual Reference Works, Handbooks"
"P1355000";"P1354000";"Quellen";"lkl=pqn 1?";"Primary Sources "
"P1356000";"P1354000";"Politische Geschichte";"lkl=pqn 200 or lkl=pqn 300 or lkl=pqn 400 or lkl=pqn 500 or lkl=pqn 900";"Political History"
"P1357000";"P1323000";"Geschichte Portugals im Mittelalter";"lkl=pqo? not (lkl=pqo 1? or lkl=pqo 000)";"Portugal in the Middle Ages"
"P1358000";"P1323000";"Geschichte Portugals in der Frühen Neuzeit";"lkl=pqr?";"Portugal in the Early Modern Period"
"P1359000";"P1323000";"Geschichte Portugals im 19. Jahrhundert";"lkl=pqu?";"Portugal in the 19th Century"
"P1360000";"P1323000";"Geschichte Portugals im 20. Jahrhundert";"lkl=pqx?";"Portugal in the 20th Century"
"P1361000";"P0001000";"Geschichte Italiens";"lkl=pr? or ddc=945?";"History of Italy"
"P1362000";"P1361000";"Nachschlagewerke, Handbücher";"lkl=pr 000";"Factual Reference Works, Handbooks"
"P1363000";"P1361000";"Quellen";"lkl=pr 100 or lkl=pr 150";"Primary Sources "
"P1364000";"P1361000";"Politische Geschichte";"lkl=pr 200 or lkl=pr 900 or lkl=pr 300 or lkl=pr 400 or lkl=pr 500";"Political History"
"P1365000";"P1361000";"Regionalgeschichte";"lkl=pr 6?";"Regional Studies"
"P1366000";"P1361000";"Stadt- und Ortsgeschichte";"lkl=pr 700";"Local History"
"P1367000";"P1361000";"Geschichte Italiens im Mittelalter";"lkl=prc?";"Italy in the Middle Ages"
"P1367500";"P1367000";"Nachschlagewerke, Handbücher";"lkl=prc 000";"Factual Reference Works, Handbooks"
"P1368000";"P1367000";"Quellen: übergreifende Sammlungen";"lkl=prc 100";"Primary Sources: comprehensive collections"
"P1369000";"P1367000";"Quellen: Spezialsammlungen";"lkl=prc 150";"Primary Sources: special collections"
"P1370000";"P1367000";"Politische Geschichte";"lkl=prc 2? or lkl=prc 900";"Political History"
"P1371000";"P1367000";"Gesellschaft";"lkl=prc 300";"Society"
"P1372000";"P1367000";"Wirtschaft";"lkl=prc 400";"Economy"
"P1373000";"P1367000";"Kultur";"lkl=prc 500 or lkl=prc 520";"Culture"
"P1374000";"P1367000";"Papsttum";"lkl=prc 575";"Papacy"
"P1375000";"P1367000";"Regionalgeschichte";"lkl=prc 600";"Regional Studies"
"P1376000";"P1367000";"Stadt- und Ortsgeschichte";"lkl=prc 700";"Local History"
"P1377000";"P1367000";"Personen";"lkl=prc 800";"Biographies"
"P1378000";"P1361000";"Geschichte Italiens in der Frühen Neuzeit ";"lkl=pre?";"Italy in the Early Modern Period "
"P1378500";"P1378000";"Nachschlagewerke, Handbücher";"lkl=pre 000";"Factual Reference Works, Handbooks"
"P1379000";"P1378000";"Quellen";"lkl=pre 1?";"Primary Sources "
"P1380000";"P1378000";"Politische Geschichte";"lkl=pre 200 or lkl=pre 900";"Political History"
"P1381000";"P1378000";"Gesellschaft";"lkl=pre 300";"Society"
"P1382000";"P1378000";"Wirtschaft";"lkl=pre 400";"Economy"
"P1383000";"P1378000";"Kultur";"lkl=pre 500 or lkl=pre 520";"Culture"
"P1384000";"P1378000";"Papsttum";"lkl=pre 575";"Papacy"
"P1385000";"P1378000";"Regionalgeschichte";"lkl=pre 600";"Regional Studies"
"P1386000";"P1378000";"Stadt- und Ortsgeschichte";"lkl=pre 700";"Local History"
"P1387000";"P1378000";"Personen";"lkl=pre 800";"Biographies"
"P1388000";"P1361000";"Geschichte Italiens im 19. Jahrhundert ";"lkl=prh?";"Italy in the 19th Century "
"P1388500";"P1388000";"Nachschlagewerke, Handbücher";"lkl=prh 000";"Factual Reference Works, Handbooks"
"P1389000";"P1388000";"Quellen";"lkl=prh 1?";"Primary Sources "
"P1390000";"P1388000";"Politische Geschichte";"lkl=prh 2? or lkl=prh 900";"Political History"
"P1391000";"P1388000";"Gesellschaft, Wirtschaft, Kultur";"lkl=prh 300 or lkl=prh 400 or lkl=prh 500 or lkl=prh 575";"Society, Economy, Culture"
"P1392000";"P1388000";"Regional- und Lokalgeschichte";"lkl=prh 600 or lkl=prh 700";"Regional Studies and Local History"
"P1393000";"P1388000";"Personen";"lkl=prh 800";"Biographies"
"P1394000";"P1361000";"Geschichte Italiens im 20. Jahrhundert ";"lkl=prm? or lkl=pro? or lkl=prq?";"Italy in the 20th Century "
"P1394500";"P1394000";"Nachschlagewerke, Handbücher";"lkl=prm 000";"Factual Reference Works, Handbooks"
"P1395000";"P1394000";"Quellen";"lkl=prm 1?";"Primary Sources "
"P1396000";"P1394000";"Politische Geschichte";"lkl=prm 200 or lkl=prm 900 or lkl=prm 300 or lkl=prm 400 or lkl=prm 5?";"Political History"
"P1397000";"P1394000";"Regional- und Lokalgeschichte";"lkl=prm 600 or lkl=prm 700";"Regional Studies and Local History"
"P1398000";"P1394000";"Personen";"lkl=prm 800";"Biographies"
"P1399000";"P1361000";"Geschichte Italiens 1918-1945 ";"lkl=pro?";"Italy 1918-1945 "
"P1399500";"P1399000";"Nachschlagewerke, Handbücher";"lkl=pro 000";"Factual Reference Works, Handbooks"
"P1400000";"P1399000";"Quellen";"lkl=pro 1?";"Primary Sources "
"P1401000";"P1399000";"Politische Geschichte";"lkl=pro 200 or lkl=pro 900";"Political History"
"P1402000";"P1399000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pro 300 or lkl=pro 400 or lkl=pro 5?";"Society"
"P1403000";"P1399000";"Regional- oder Lokalgeschichte";"lkl=pro 600 or lkl=pro 700";"Regional Studies and Local History"
"P1404000";"P1399000";"Personen";"lkl=pro 800";"Biographies"
"P1405000";"P1361000";"Geschichte Italiens 1945- ";"lkl=prq?";"Italy 1945- "
"P1405500";"P1405000";"Nachschlagewerke, Handbücher";"lkl=prq 000";"Factual Reference Works, Handbooks"
"P1406000";"P1405000";"Quellen";"lkl=prq 1?";"Primary Sources "
"P1407000";"P1405000";"Politische Geschichte";"lkl=prq 200 or lkl=prq 900";"Political History"
"P1408000";"P1405000";"Gesellschaft, Wirtschaft, Kultur";"lkl=prq 300 or lkl=prq 400 or lkl=prq 5?";"Society"
"P1409000";"P1405000";"Regionalgeschichte";"lkl=prq 600 or lkl=prq 700";"Regional Studies"
"P1410000";"P1405000";"Personen";"lkl=prq 800";"Biographies"
"P1411000";"P1361000";"Geschichte Maltas";"lkl=prz 000";"History of Malta"
"P1412000";"P0001000";"Geschichte der Türkei";"lkl=psb? or lkl=psc? or lkl=pse?";"History of Turkey"
"P1413000";"P1412000";"Nachschlagewerke, Handbücher";"lkl=psb 000";"Factual Reference Works, Handbooks"
"P1414000";"P1412000";"Politische Geschichte";"lkl=psb 100 or lkl=psb 200 or lkl=psb 900";"Political History"
"P1415000";"P1412000";"Geschichte Kleinasiens unter osmanischer Herrschaft";"lkl=psc?";"History of Asia Minor under Ottoman rule"
"P1416000";"P1412000";"Geschichte der Türkei im 20. Jahrhundert ";"lkl=pse?";"Turkey in the 20th Century "
"P1416500";"P1416000";"Nachschlagewerke, Handbücher";"lkl=pse 000";"Factual Reference Works, Handbooks"
"P1417000";"P1416000";"Politische Geschichte";"lkl=pse? not lkl=pse 000";"Political History"
"P1418000";"P0001000";"Geschichte Griechenlands (hier auch Zypern)";"lkl=psg? or lkl=psh? or lkl=psk? or lkl=psl?";"History of Greece (including Cyprus)"
"P1419000";"P1418000";"Nachschlagewerke, Handbücher";"lkl=psg 000";"Factual Reference Works, Handbooks"
"P1420000";"P1418000";"Politische Geschichte";"lkl=psg? not lkl=psg 000";"Political History"
"P1421000";"P1418000";"Geschichte Griechenlands unter osmanischer Herrschaft";"lkl=psh?";"Greece under Ottoman Rule"
"P1422000";"P1418000";"Geschichte Griechenlands im 19. Jahrhundert";"lkl=psk?";"Greece in the 19th Century"
"P1423000";"P1418000";"Geschichte Griechenlands im 20. Jahrhundert";"lkl=psl?";"Greece in the 20th Century"
"P1424000";"P0001000";"Geschichte der Balkanstaaten (ohne Griechenland)";"lkl=pso? or lkl=psq? or lkl=pst? or lkl=psu? or lkl=psv? or lkl=psx? or lkl=psy? or lkl=psz?";"History of the Balkan States (without Greece)"
"P1425000";"P1424000";"Nachschlagewerke, Handbücher";"lkl=pso 000 or lkl=ps 000";"Factual Reference Works, Handbooks"
"P1426000";"P1424000";"Politische Geschichte";"lkl=pso? not lkl=pso 000";"Political History"
"P1427000";"P1424000";"Geschichte der Balkanstaaten unter osmanischer Herrschaft";"lkl=psp?";"The Balkan States under Ottoman Rule"
"P1428000";"P1424000";"Geschichte der Balkanstaaten im 19. und 20. Jahrhundert";"lkl=psq?";"The Balkan States in the 19th and 20th Century"
"P1429000";"P1424000";"Geschichte Rumäniens";"lkl=pss?";"History of Romania"
"P1430000";"P1424000";"Geschichte Bulgariens";"lkl=pst?";"History of Bulgaria"
"P1431000";"P1424000";"Geschichte Sloweniens";"lkl=psu?";"History of Slovenia"
"P1432000";"P1424000";"Geschichte Kroatiens";"lkl=psv?";"History of Croatia"
"P1433000";"P1424000";"Geschichte Bosnien-Herzegowinas";"lkl=psw?";"History of Bosnia-Herzegovina"
"P1434000";"P1424000";"Geschichte Jugoslawiens, Serbiens und Montenegros";"lkl=psx?";"History of Yugoslavia, Serbia and Montenegro"
"P1435000";"P1424000";"Geschichte Albaniens";"lkl=psy?";"History of Albania"
"P1436000";"P1424000";"Geschichte Mazedoniens";"lkl=psz?";"History of Macedonia"
"P1437000";"P0001000";"Geschichte Osteuropas";"lkl=pt? or ddc=947?";"History of Eastern Europe"
"P1438000";"P1437000";"Geschichte Osteuropas: übergreifende Darstellungen";"lkl=pt 000";"History of Eastern Europe: Comprehensive Histories"
"P1439000";"P1437000";"Geschichte Polens";"lkl=pta? or lkl=ptb? or lkl=ptc? or lkl=ptd? or lkl=pte?";"History of Poland"
"P1440000";"P1439000";"Nachschlagewerke, Handbücher";"lkl=pta 000";"Factual Reference Works, Handbooks"
"P1441000";"P1439000";"Quellen";"lkl=pta 1?";"Primary Sources "
"P1442000";"P1439000";"Politische Geschichte";"lkl=pta 200 or lkl=pta 900";"Political History"
"P1443000";"P1439000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pta 300 or lkl=pta 400 or lkl=pta 500";"Society, Economy, Culture"
"P1444000";"P1439000";"Regional- und Lokalgeschichte";"lkl=pta 600 or lkl=pta 700";"Regional Studies and Local History"
"P1445000";"P1439000";"Geschichte Polens im Mittelalter ";"lkl=ptb?";"Poland in the Middle Ages "
"P1445500";"P1445000";"Nachschlagewerke, Handbücher ";"lkl=ptb 000";"Factul Reference Works, Handbooks"
"P1446000";"P1445000";"Quellen";"lkl=ptb 1?";"Primary Sources "
"P1447000";"P1445000";"Politische Geschichte";"lkl=ptb 200 or lkl=ptb 900";"Political History"
"P1448000";"P1445000";"Gesellschaft, Wirtschaft, Kultur";"lkl=ptb 300 or lkl=ptb 400 or lkl=ptb 500";"Society, Economy, Culture"
"P1449000";"P1445000";"Regional- und Lokalgeschichte";"lkl=ptb 600 or lkl=ptb 700";"Regional Studies and Local History"
"P1450000";"P1445000";"Personen";"lkl=ptb 800";"Biographies"
"P1451000";"P1439000";"Geschichte Polens in der Frühen Neuzeit ";"lkl=ptc?";"Poland in the Early Modern Period "
"P1451500";"P1451000";"Nachschlagewerke, Handbücher ";"lkl=ptc 000";"Factul Reference Works, Handbooks"
"P1452000";"P1451000";"Quellen";"lkl=ptc 1?";"Primary Sources "
"P1453000";"P1451000";"Politische Geschichte";"lkl=ptc 200 or lkl=ptc 900";"Political History"
"P1454000";"P1451000";"Gesellschaft, Wirtschaft, Kultur";"lkl=ptc 300 or lkl=ptc 400 or lkl=ptc 500";"Society, Economy, Culture"
"P1455000";"P1451000";"Regionalgeschichte";"lkl=ptc 600 or lkl=ptc 700";"Regional Studies"
"P1456000";"P1451000";"Personen";"lkl=ptc 800";"Biographies"
"P1457000";"P1439000";"Geschichte Polens im 19. Jahrhundert";"lkl=ptd?";"Poland in the 19th Century"
"P1457500";"P1457000";"Nachschlagewerke, Handbücher ";"lkl=ptd 000";"Factul Reference Works, Handbooks"
"P1458000";"P1457000";"Quellen";"lkl=ptd 1?";"Primary Sources "
"P1459000";"P1457000";"Politische Geschichte";"lkl=ptd 200 or lkl=ptd 900";"Political History"
"P1460000";"P1457000";"Gesellschaft, Wirtschaft, Kultur";"lkl=ptd 300 or lkl=ptd 400 or lkl=ptd 500";"Society, Economy, Culture"
"P1461000";"P1457000";"Regional- und Lokalgeschichte";"lkl=ptd 600 or lkl=ptd 700";"Regional Studies and Local History"
"P1462000";"P1457000";"Personen";"lkl=ptd 800";"Biographies"
"P1463000";"P1439000";"Geschichte Polens im 20.Jahrhundert ";"lkl=pte?";"Poland in the 20th Century "
"P1463500";"P1463000";"Nachschlagewerke, Handbücher ";"lkl=pte 000";"Factul Reference Works, Handbooks"
"P1464000";"P1463000";"Quellen";"lkl=pte 1?";"Primary Sources "
"P1465000";"P1463000";"Politische Geschichte";"lkl=pte 200 or lkl=pte 900";"Political History"
"P1466000";"P1463000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pte 300 or lkl=pte 400 or lkl=pte 500";"Society"
"P1467000";"P1463000";"Regional- und Lokalgeschichte";"lkl=pte 600 or lkl=pte 700";"Regional Studies and Local History"
"P1468000";"P1463000";"Personen";"lkl=pte 800";"Biographies"
"P1469000";"P1437000";"Geschichte des Baltikums";"lkl=ptf? or lkl=ptg? or lkl=pth? or lkl=pti? or lkl=ptj? or lkl=ptk? or lkl=ptl? or lkl=ptm?";"History of the Baltic States"
"P1470000";"P1469000";"Geschichte des Baltikums: übergreifende Darstellungen";"lkl=ptf?";"History of the Baltic States: Comprehensive Histories"
"P1471000";"P1469000";"Geschichte Litauens";"lkl=ptg? or lkl=pth? or lkl=pti?";"History of Lithuania"
"P1472000";"P1469000";"Geschichte Lettlands";"lkl=ptj?";"History of Latvia"
"P1473000";"P1469000";"Geschichte Estlands";"lkl=ptk?";"History of Estonia"
"P1474000";"P1469000";"Estland im Mittelalter und in der Frühen Neuzeit";"lkl=ptl?";"Estonia in the Middle Ages and the Early Modern Period"
"P1475000";"P1469000";"Estland im  19. und 20. Jahrhundert";"lkl=ptm?";"Estonia in the 19th and 20th Century"
"P1475500";"P1475000";"Nachschlagewerke, Handbücher";"lkl=ptm 000";"Factual Reference Works, Handbooks"
"P1476000";"P1475000";"Quellen";"lkl=ptm 1?";"Primary Sources "
"P1477000";"P1475000";"Politische Geschichte";"lkl=ptm 200 or lkl=ptm 900";"Political History"
"P1478000";"P1475000";"Gesellschaft";"lkl=ptm 300";"Society"
"P1479000";"P1475000";"Wirtschaft";"lkl=ptm 400";"Economy"
"P1480000";"P1475000";"Kultur";"lkl=ptm 500";"Culture"
"P1481000";"P1475000";"Regionalgeschichte";"lkl=ptm 600";"Regional Studies"
"P1482000";"P1475000";"Stadt- und Ortsgeschichte";"lkl=ptm 700";"Local History"
"P1483000";"P1475000";"Personen";"lkl=ptm 800";"Biographies"
"P1484000";"P1437000";"Geschichte Weissrusslands";"lkl=ptn?";"History of Belarus"
"P1486000";"P1437000";"Geschichte der Ukraine";"lkl=pto? not lkl=pto 680";"History of Ukraine"
"P1488000";"P1437000";"Geschichte Moldawiens";"lkl=pto 680";"History of Moldova"
"P1489000";"P1437000";"Geschichte des Kaukasus";"lkl=ptq? not lkl=ptq 620 not lkl=ptq 640 not lkl=ptq 650 not lkl=ptq 660";"History of the Caucasus"
"P1491000";"P1489000";"Nordkaukasus, Kaukasusvorland";"lkl=ptq 620";"Northern Caucasus,Caucasian foreland"
"P1492000";"P1489000";"Georgien";"lkl=ptq 640";"Georgia"
"P1493000";"P1489000";"Armenien";"lkl=ptq 650";"Armenia"
"P1494000";"P1489000";"Aserbaidschan";"lkl=ptq 660";"Azerbaijan"
"P1495000";"P1437000";"Geschichte Russlands";"lkl=pt? and bkl=15.74";"History of Russia"
"P1496000";"P1495000";"Nachschlagewerke, Handbücher";"lkl=pts 000";"Factual Reference Works, Handbooks"
"P1497000";"P1495000";"Quellen";"lkl=pts 1?";"Primary Sources "
"P1498000";"P1495000";"Politische Geschichte";"lkl=pts 200 or lkl=pts 900";"Political History"
"P1499000";"P1495000";"Gesellschaft";"lkl=pts 300";"Society"
"P1500000";"P1495000";"Wirtschaft";"lkl=pts 400";"Economy"
"P1501000";"P1495000";"Kultur";"lkl=pts 500";"Culture"
"P1502000";"P1495000";"Regionalgeschichte";"lkl=pts 600";"Regional Studies"
"P1503000";"P1495000";"Stadt- und Ortsgeschichte";"lkl=pts 700";"Local History"
"P1504000";"P1495000";"Biographische Sammelwerke";"lkl=pts 800";"Biographical Reference Works"
"P1505000";"P1495000";"Geschichte Russlands im Mittelalter ";"lkl=ptt?";"Russia in the Middle Ages "
"P1505500";"P1505000";"Nachschlagewerke, Handbücher";"lkl=ptt 000";"Factual Reference Works, Handbooks"
"P1506000";"P1505000";"Quellen";"lkl=ptt 1?";"Primary Sources "
"P1507000";"P1505000";"Politische Geschichte";"lkl=ptt 200 or lkl=ptt 900";"Political History"
"P1508000";"P1505000";"Gesellschaft, Wirtschaft, Kultur";"lkl=ptt 300 or lkl=ptt 400 or lkl=ptt 500";"Society, Economy, Culture"
"P1509000";"P1505000";"Regional- und Lokalgeschichte";"lkl=ptt 600 or lkl=ptt 700";"Regional Studies and Local History"
"P1510000";"P1505000";"Personen";"lkl=ptt 800";"Biographies"
"P1511000";"P1495000";"Geschichte Russlands in der Frühen Neuzeit ";"lkl=ptu?";"Russia in the Early Modern Period "
"P1511500";"P1511000";"Nachschlagewerke, Handbücher";"lkl=ptu 000";"Factual Reference Works, Handbooks"
"P1512000";"P1511000";"Quellen";"lkl=ptu 1?";"Primary Sources "
"P1513000";"P1511000";"Politische Geschichte";"lkl=ptu 200 or lkl=ptu 900";"Political History"
"P1514000";"P1511000";"Gesellschaft";"lkl=ptu 300";"Society"
"P1515000";"P1511000";"Wirtschaft";"lkl=ptu 400";"Economy"
"P1516000";"P1511000";"Kultur";"lkl=ptu 500";"Culture"
"P1517000";"P1511000";"Regionalgeschichte";"lkl=ptu 600";"Regional Studies"
"P1518000";"P1511000";"Stadt- und Ortsgeschichte";"lkl=ptu 700";"Local History"
"P1519000";"P1511000";"Personen";"lkl=ptu 800";"Biographies"
"P1520000";"P1495000";"Geschichte Russlands im 19. Jahrhundert";"lkl=ptv?";"Russia in the 19th Century"
"P1520500";"P1520000";"Nachschlagewerke, Handbücher";"lkl=ptv 000";"Factual Reference Works, Handbooks"
"P1521000";"P1520000";"Quellen";"lkl=ptv 1?";"Primary Sources "
"P1522000";"P1520000";"Politische Geschichte";"lkl=ptv 200 or lkl=ptv 900";"Political History"
"P1523000";"P1520000";"Gesellschaft";"lkl=ptv 300";"Society"
"P1524000";"P1520000";"Wirtschaft";"lkl=ptv 400";"Economy"
"P1525000";"P1520000";"Kultur";"lkl=ptv 500";"Culture"
"P1526000";"P1520000";"Regionalgeschichte";"lkl=ptv 600";"Regional Studies"
"P1527000";"P1520000";"Stadt- und Ortsgeschichte";"lkl=ptv 700";"Local History"
"P1528000";"P1520000";"Personen";"lkl=ptv 800";"Biographies"
"P1529000";"P1495000";"Geschichte der Sowjetunion im 20. Jahrhundert";"lkl=ptw? or lkl=ptx? or lkl=pty?";"The Soviet Union in the 20th Century"
"P1529500";"P1529000";"Nachschlagewerke, Handbücher";"lkl=ptw 000";"Factual Reference Works, Handbooks"
"P1530000";"P1529000";"Quellen";"lkl=ptw 1?";"Primary Sources "
"P1531000";"P1529000";"Politische Geschichte";"lkl=ptw 200 or lkl=ptw 900";"Political History"
"P1532000";"P1529000";"Gesellschaft";"lkl=ptw 300";"Society"
"P1533000";"P1529000";"Wirtschaft";"lkl=ptw 400";"Economy"
"P1534000";"P1529000";"Kultur";"lkl=ptw 500";"Culture"
"P1535000";"P1529000";"Regionalgeschichte";"lkl=ptw 600";"Regional Studies"
"P1536000";"P1529000";"Stadt- und Ortsgeschichte";"lkl=ptw 700";"Local History"
"P1537000";"P1529000";"Personen";"lkl=ptw 800";"Biographies"
"P1538000";"P1495000";"Geschichte der Sowjetunion 1917-1953 ";"lkl=ptx?";"The Soviet Union 1917-1953 "
"P1539000";"P1538000";"Nachschlagewerke, Handbücher";"lkl=ptx 000";"Factual Reference Works, Handbooks"
"P1539500";"P1538000";"Quellen";"lkl=ptx 1?";"Primary Sources"
"P1540000";"P1538000";"Politische Geschichte";"lkl=ptx 200 or lkl=ptx 900";"Political History"
"P1541000";"P1538000";"Gesellschaft";"lkl=ptx 300";"Society"
"P1542000";"P1538000";"Wirtschaft";"lkl=ptx 400";"Economy"
"P1543000";"P1538000";"Kultur";"lkl=ptx 500";"Culture"
"P1544000";"P1538000";"Regionalgeschichte";"lkl=ptx 600";"Regional Studies"
"P1545000";"P1538000";"Stadt- und Ortsgeschichte";"lkl=ptx 700";"Local History"
"P1546000";"P1538000";"Personen";"lkl=ptx 800";"Biographies"
"P1547000";"P1495000";"Geschichte der Sowjetunion 1953-1991 ";"lkl=pty?";"The Soviet Union 1953-1991 "
"P1547500";"P1547000";"Nachschlagewerke, Handbücher";"lkl=pty 000";"Factual Reference Works, Handbooks"
"P1548000";"P1547000";"Quellen";"lkl=pty 1?";"Primary Sources "
"P1549000";"P1547000";"Politische Geschichte";"lkl=pty 200 or lkl=pty 900";"Political History"
"P1550000";"P1547000";"Gesellschaft";"lkl=pty 300";"Society"
"P1551000";"P1547000";"Wirtschaft";"lkl=pty 400";"Economy"
"P1552000";"P1547000";"Kultur";"lkl=pty 500";"Culture"
"P1553000";"P1547000";"Regionalgeschichte";"lkl=pty 600";"Regional Studies"
"P1554000";"P1547000";"Stadt- und Ortsgeschichte";"lkl=pty 700";"Local History"
"P1555000";"P1547000";"Personen";"lkl=pty 800";"Biographies"
"P1556000";"P1495000";"Geschichte Russlands (und der GUS) 1991-";"lkl=ptz?";"Russia (and the CIS) 1991-"
"P1557000";"P0001000";"Geschichte Asiens";"lkl=pu? or ddc=95?";"History of Asia"
"P1558000";"P1557000";"Geschichte Asiens: übergreifende Darstellungen";"lkl=pu 000";"History of  Asia: Comprehensive Histories "
"P1559000";"P1558000";"Asien nach 1945";"lkl=ptu 020 or lkl=ptu 050";"Asia after 1945"
"P1560000";"P1558000";"Orientalismus";"lkl=ptu 055";"Orientalism"
"P1561000";"P1557000";"Geschichte des vorderen und mittleren Orients";"lkl=pu 200";"History of the Near and Middle East"
"P1562000";"P1561000";"Unter arabischer Vorherrschaft 622-1517";"lkl=pu 220";"Under Arabian rule 622-1517"
